Parameter,frequency,amplitude,Percent_change,Percent_change_amp
d3L (- 10%),0.042396235214313,0.828899015640847,-0.614745410607558,3.41906569511883
d4D (- 10%),0.0426584762392287,0.801495362648562,0,0
d4L (- 10%),0.0417928269862254,0.889891248461229,-2.02925497889036,11.0288705252843
K1 (- 10%),0.0434430767920269,0.699216473192332,1.83926061586949,-12.7610082631354
K2 (- 10%),0.0426257459505541,0.798172998668123,-0.0767263427109968,-0.414520674138428
K3 (- 10%),0.042649379451529,0.782157715629026,-0.0213246897257767,-2.41269605798269
K4 (- 10%),0.0423190859077444,0.85514897756811,-0.79559881506561,6.6941890645815
K5 (- 10%),0.0414114399102752,0.971216620838432,-2.92330256233285,21.17557581731
K6 (- 10%),0.0426657564638621,0.795927470338118,0.0170663025855363,-0.694688025648049
K7 (- 10%),0.0427222625710258,0.793138504785987,0.149527918998583,-1.04265829248964
K8 (- 10%),0.0422541284008106,0.803051094819497,-0.94787220281982,0.194103702084287
K9 (- 10%),0.0428337462730441,0.784094017028337,0.410868013270061,-2.17110995660925
K10 (- 10%),0.0435097897026831,0.714588202788621,1.99564902102972,-10.843126973655
